,Branch,Month,Customer Satisfaction,New Customer Acquisition,Strategic Goal Alignment,Innovation Initiatives
0,1,1,5.711945357302524,56.0,5.520548246920832,0.0
1,2,1,6.607638718408538,66.0,8.621694085643705,1.0
2,3,1,5.153203762472341,95.0,7.891934585032045,3.0
3,4,1,5.430971957058336,56.0,6.37080333279903,3.0
4,5,1,5.345896319011884,68.0,5.397096844944933,4.0
5,1,2,5.397766630407856,64.26,5.536857072941796,3.06
6,2,2,7.286027626552003,76.5,9.660373460787003,2.04
7,3,2,7.035768490815025,47.94,6.078523356065589,0.0
8,4,2,6.59314450797239,99.96000000000001,6.7491949667891555,4.08
9,5,2,5.785582496687384,25.5,6.255947651357639,2.04
10,1,3,6.7962046308926425,83.2,7.045980790326075,1.04
11,2,3,6.833230304378049,40.56,5.561003982279686,0.0
12,3,3,6.169132474111532,100.88000000000001,7.899110912723007,3.12
13,4,3,6.89453064587561,21.84,5.551585330679518,0.0
14,5,3,6.883029262914419,95.68,9.36185384067628,1.04
15,1,4,7.525700050854129,59.36,6.538674034125295,4.24
16,2,4,7.662769687270171,41.34,8.162063147403908,4.24
17,3,4,6.169169848229895,47.7,9.964419164075728,4.24
18,4,4,7.128334066886042,50.88,8.749650055950129,3.18
19,5,4,7.898393775534558,21.200000000000003,8.124676268722078,2.12
20,1,5,7.641434585248735,58.32000000000001,7.151402266823029,2.16
21,2,5,8.726716863260549,96.12,7.198210330514269,0.0
22,3,5,8.252956026409501,84.24000000000001,9.015229558070228,3.24
23,4,5,6.8933195474859374,95.04,10.768352550594306,4.32
24,5,5,6.68806716577466,56.160000000000004,8.973931625186646,4.32
25,1,6,8.46807416114956,77.0,8.567808795535138,1.1
26,2,6,6.683043363638368,106.7,9.518577806315854,1.1
27,3,6,8.468270422975328,34.1,8.05863086756045,4.4
28,4,6,9.659232638960152,42.900000000000006,5.830782884304319,4.4
29,5,6,8.605845340863288,79.2,8.592632487328505,3.3000000000000003
30,1,7,8.091123355697604,69.44000000000001,10.962701593230129,2.24
31,2,7,8.994866072651183,77.28,6.581696477202894,1.12
32,3,7,8.475314378771358,53.760000000000005,9.464027388595728,2.24
33,4,7,8.845325291549312,85.12,6.725228656490716,3.3600000000000003
34,5,7,10.258831961570756,64.96000000000001,8.600635033049256,4.48
35,1,8,8.46989182566549,85.50000000000001,6.251055762986303,2.2800000000000002
36,2,8,10.525271049758347,70.68,8.267114336671657,4.5600000000000005
37,3,8,10.431028397272406,78.66000000000001,10.010130974702903,4.5600000000000005
38,4,8,8.031225610784855,47.88,7.681157688162199,0.0
39,5,8,7.650599700503343,71.82000000000001,9.489996829577144,2.2800000000000002
40,1,9,7.828106927407715,66.11999999999999,10.413609772580427,2.32
41,2,9,7.593266220881844,48.72,11.177631352980825,4.64
42,3,9,7.936121524153245,74.24,7.160924074761629,3.4799999999999995
43,4,9,10.1909892787415,82.36,8.116032311693987,0.0
44,5,9,7.979506052904339,114.83999999999999,6.684012877316421,4.64
45,1,10,8.985576782871394,81.42,11.755652662734414,1.18
46,2,10,11.07942323493903,31.86,11.369305710753341,1.18
47,3,10,7.987029804532555,23.599999999999998,9.085747068655301,0.0
48,4,10,11.151083798687404,31.86,10.867996436820885,3.54
49,5,10,9.136144908102663,56.64,8.973652065905048,4.72
50,1,11,7.678507742982523,28.799999999999997,9.741514128016558,2.4
51,2,11,7.146616106417066,79.2,6.5347465926960995,0.0
52,3,11,7.96779193522529,63.599999999999994,10.531622522980848,3.5999999999999996
53,4,11,7.6628687460646026,100.8,6.766280901811409,2.4
54,5,11,7.9389455441730385,88.8,10.95640578151517,1.2
55,1,12,7.846295863057986,75.64,10.870371334789354,1.22
56,2,12,7.03576279388364,113.46,10.423342656232157,2.44
57,3,12,7.1806968070877275,59.78,6.320578321201049,0.0
58,4,12,7.933430290971492,43.92,7.949082971266504,1.22
59,5,12,7.860118456605744,54.9,7.704986676456142,4.88
60,1,13,7.487459043621511,33.48,8.432845726323418,2.48
61,2,13,7.571569703818357,81.84,6.7433850299358,2.48
62,3,13,8.292152235388823,117.8,12.00913850279259,1.24
63,4,13,7.127310025033427,112.84,9.633573892416733,0.0
64,5,13,7.850142323948824,80.6,8.094250726079746,4.96
65,1,14,7.368574775917969,109.62,8.800983557567985,0.0
66,2,14,7.356330405870034,65.52,9.117376005180464,3.7800000000000002
67,3,14,8.236180490831417,25.2,10.083744300171888,3.7800000000000002
68,4,14,8.06128311731186,47.88,9.548780394487935,1.26
69,5,14,8.06132164884044,63.0,12.092169431250829,1.26
70,1,15,8.413835165008031,126.72,9.580566290597314,1.28
71,2,15,7.514912727559259,42.24,12.7498112948692,3.84
72,3,15,7.991006139332374,92.16,11.849119729568613,0.0
73,4,15,7.273505267686777,85.76,7.73446729188695,0.0
74,5,15,7.739883100841447,112.64,12.355809373721064,1.28
75,1,16,7.4023927092242365,105.3,7.2563815862555945,5.2
76,2,16,7.573716933394466,110.5,11.813423105192745,0.0
77,3,16,7.958270909586424,107.9,8.97405140759777,3.9000000000000004
78,4,16,6.861787867077892,115.7,12.206833082892953,2.6
79,5,16,9.152985947791514,106.60000000000001,12.142368485698427,2.6
80,1,17,6.695186094800238,121.44000000000001,11.919107640776302,2.64
81,2,17,6.516507223641937,68.64,11.814200879626606,5.28
82,3,17,8.449650916270055,79.2,8.61088231804707,1.32
83,4,17,8.157080035989237,88.44,7.134067268138265,3.96
84,5,17,8.02426064632381,42.24,9.259669179850066,5.28
85,1,18,8.034093682874637,123.28,7.862614250409608,4.0200000000000005
86,2,18,7.489467775351653,128.64000000000001,11.356172295646493,4.0200000000000005
87,3,18,6.719388696807327,67.0,9.018868167803165,1.34
88,4,18,7.566708011210479,125.96000000000001,13.236588345761431,2.68
89,5,18,6.89732607675422,116.58000000000001,10.994512918213724,1.34
90,1,19,8.377607760075977,31.279999999999998,12.392867832713653,5.4399999999999995
91,2,19,7.366177782833054,51.67999999999999,7.701167774644569,5.4399999999999995
92,3,19,6.7405425789508895,121.03999999999999,12.661698479453833,5.4399999999999995
93,4,19,7.201111167262716,43.519999999999996,13.07474889549108,1.3599999999999999
94,5,19,7.888155567019087,57.12,10.112021047968764,4.08
95,1,20,6.964461674836224,129.72,11.083145270481744,4.14
96,2,20,6.7106684202562255,27.599999999999998,12.177187626230667,0.0
97,3,20,7.736376595147155,100.74,8.106386528096847,5.52
98,4,20,7.740067239686549,124.19999999999999,10.367705927597752,4.14
99,5,20,6.998126256382582,46.919999999999995,9.65077489162896,0.0
100,1,21,7.1455260127283875,117.6,8.024617945135743,4.199999999999999
101,2,21,8.595370031156408,133.0,9.572740956040718,5.6
102,3,21,8.306534852893675,125.99999999999999,7.477206165698455,2.8
103,4,21,6.928785945573073,47.599999999999994,7.180683348646408,5.6
104,5,21,6.858351503240341,56.0,7.946164024083759,1.4
105,1,22,8.764484623722995,53.959999999999994,13.938117292283135,4.26
106,2,22,7.3510196437182,112.17999999999999,11.00165970485462,4.26
107,3,22,7.276492666741082,73.84,13.95733734418786,1.42
108,4,22,8.235899077670059,96.56,10.170734936143935,1.42
109,5,22,8.504486234462641,76.67999999999999,9.313894544905342,2.84
110,1,23,8.554157655215706,90.72,10.844221412449757,4.32
111,2,23,7.944773384276716,43.199999999999996,10.364484158156953,4.32
112,3,23,6.958429894565651,131.04,7.9607857266845565,2.88
113,4,23,6.154503438733706,139.68,11.813949465769484,0.0
114,5,23,7.852353247631381,133.92,8.755474914069117,2.88
115,1,24,7.2334837023743175,124.1,11.822992070754157,5.84
116,2,24,6.820354267677323,94.89999999999999,12.04646797450652,4.38
117,3,24,8.048213425523281,40.879999999999995,8.40978142783913,1.46
118,4,24,5.840416335546202,32.12,7.747852277907877,5.84
119,5,24,6.816379981720322,65.7,12.999559578299612,4.38
120,1,25,5.407300409430405,134.68,10.802523135892969,2.96
121,2,25,6.625281937549033,99.16,7.8304120867405205,5.92
122,3,25,5.375214658453487,125.8,14.762010747056276,4.4399999999999995
123,4,25,5.478785050196648,131.72,7.827576151373114,0.0
124,5,25,5.39848993535819,69.56,12.543260693553293,0.0
125,1,26,6.917018661450231,67.5,14.8775919394756,1.5
126,2,26,7.156139698273009,66.0,9.293850781619442,4.5
127,3,26,6.603714572009456,46.5,8.566870265153971,0.0
128,4,26,7.727692636954856,36.0,8.410387045668216,3.0
129,5,26,5.829080827213272,100.5,9.774563606756967,4.5
130,1,27,5.477543982224404,85.12,8.367948163680914,3.04
131,2,27,7.296301991660382,148.96,12.860426196875403,3.04
132,3,27,5.1342106768744165,95.76,8.073417665788478,0.0
133,4,27,7.5174906676775235,51.68,11.471608173938403,4.5600000000000005
134,5,27,4.279206381896558,94.24,15.174896089282624,6.08
135,1,28,7.454730867948831,103.18,13.967571075196345,0.0
136,2,28,4.224388464456921,137.06,12.437189674378782,0.0
137,3,28,7.095871913220307,100.10000000000001,10.05815288005691,4.62
138,4,28,5.770977291738877,95.48,12.503997939445616,4.62
139,5,28,7.367199572143893,61.6,11.758219272119717,3.08
140,1,29,4.016688041210701,65.52,11.123450394344898,4.68
141,2,29,5.6858255135881555,154.44,8.819540938573555,3.12
142,3,29,7.155604759649712,102.96000000000001,14.715512878875641,0.0
143,4,29,5.453270919088464,53.04,11.308320260806315,1.56
144,5,29,5.792661328368179,68.64,9.318055592201967,6.24
145,1,30,5.988742977325219,86.9,10.805298871930589,0.0
146,2,30,5.009111158096005,148.52,11.171625044978525,4.74
147,3,30,5.617374330318003,110.60000000000001,14.437549374978307,6.32
148,4,30,5.391736592534471,53.72,13.695553606435078,1.58
149,5,30,6.588585721544316,137.46,13.977508659766585,1.58
150,1,31,6.0,64.0,8.088250115429178,3.2
151,2,31,6.444829821028607,51.2,11.329231985438092,6.4
152,3,31,6.84929077724237,60.800000000000004,11.85075321308259,3.2
153,4,31,7.1604477260860575,84.80000000000001,8.153538214584454,0.0
154,5,31,7.337670852772045,155.20000000000002,10.078505669960274,6.4
155,1,32,7.359262369627498,140.94,14.258347567289293,0.0
156,2,32,7.226445800706028,115.02000000000001,9.210588616404893,3.24
157,3,32,6.9640152176960575,74.52000000000001,12.436012064765993,6.48
158,4,32,6.617428493911488,77.76,9.843135163339625,3.24
159,5,32,6.2466645976092625,76.14,8.198178274615536,6.48
160,1,33,5.917669449162516,88.56,10.17785195231624,3.2800000000000002
161,2,33,5.692609570922982,44.28,16.202164790262444,1.6400000000000001
162,3,33,5.620373798318671,57.400000000000006,14.772604317440516,3.2800000000000002
163,4,33,5.728771549738572,90.2,16.068528483432473,1.6400000000000001
164,5,33,6.019663865706228,80.36,12.200403160196172,3.2800000000000002
165,1,34,6.467856436872181,61.42,9.21081044902328,6.640000000000001
166,2,34,7.024038464777202,34.86,12.848063758481652,6.640000000000001
167,3,34,7.621446496874391,112.88000000000001,12.071331876847676,6.640000000000001
168,4,34,8.18535868465006,159.36,15.308163786738813,4.98
169,5,34,8.644070357387193,38.18000000000001,9.114085420509232,0.0
170,1,35,8.93973879498931,157.92000000000002,12.501225550982937,6.720000000000001
171,2,35,9.037458859787986,43.68000000000001,9.66040878342947,1.6800000000000002
172,3,35,8.931152169901582,156.24,11.127277785876505,6.720000000000001
173,4,35,8.645293950352993,97.44000000000001,14.593799450057519,5.040000000000001
174,5,35,8.2321026088787,53.760000000000005,12.39855228669764,1.6800000000000002
175,1,36,7.7644907116751405,85.0,11.695050423739039,5.1
176,2,36,7.325722393725149,153.0,11.8530483678453,1.7
177,3,36,6.997242932835307,139.4,12.405297531450886,3.4
178,4,36,6.846459395771865,127.5,15.172640622614981,0.0
179,5,36,6.9163044273530225,103.7,16.082719855991993,0.0
180,1,37,7.218193903223098,137.6,16.815878303933783,5.16
181,2,37,7.729519916031134,104.92,15.367369121795537,0.0
182,3,37,8.396168081722017,129.0,11.31249930343291,5.16
183,4,37,9.139806284148047,94.6,14.517958472344263,5.16
184,5,37,9.868970252047998,149.64,12.36338686687637,5.16
185,1,38,10.492378826318099,45.24,10.915634411800644,0.0
186,2,38,10.932540527298023,127.02,16.015582741005527,5.22
187,3,38,11.137623963070547,34.8,9.034309235972227,0.0
188,4,38,11.08977754473085,109.62,16.545329331578184,5.22
189,5,38,10.808573740649116,111.36,12.714853942235186,6.96
190,1,39,10.348952393442104,116.16,14.40737299591287,5.28
191,2,39,9.793846177144474,56.32,14.602314515410889,1.76
192,3,39,9.242470246554305,72.16,16.677036118217522,5.28
193,4,39,8.795927573503223,70.4,14.402693203071424,3.52
194,5,39,8.542218308653908,49.28,14.202615545888545,5.28
195,1,40,8.54287539788175,80.1,9.49320316099014,1.78
196,2,40,8.82325321153975,49.84,13.513831395312316,1.78
197,3,40,9.367993511137856,60.52,10.23650410727167,0.0
198,4,40,10.122452513835004,51.62,15.463160541621221,7.12
199,5,40,10.999999999999998,108.58,13.458775095232802,5.34
200,1,41,7.0,163.8,15.12205001287518,0.0
201,2,41,6.896499179776016,77.4,9.375056105421459,7.2
202,3,41,6.505939274931421,178.20000000000002,9.76312814441223,5.4
203,4,41,5.9607699671579955,122.4,15.446910492564141,3.6
204,5,41,5.450508124731855,81.0,9.648759023988061,5.4
205,1,42,5.160881939703298,101.91999999999999,9.748436222663852,1.8199999999999998
206,2,42,5.211943027737889,158.33999999999997,9.210187124637475,1.8199999999999998
207,3,42,5.615752238125941,125.57999999999998,17.804162724525266,3.6399999999999997
208,4,42,6.268455022558502,78.25999999999999,15.811326071076962,0.0
209,5,42,6.980614007973565,69.16,12.314587817368784,7.279999999999999
210,1,43,7.5370443358268675,145.35999999999999,11.928127347846427,5.52
211,2,43,7.767264307935085,106.72,12.417269713661815,1.8399999999999999
212,3,43,7.6034988303082685,171.11999999999998,16.32681248686687,0.0
213,4,43,7.106546890686633,68.08,15.28460962184781,3.6799999999999997
214,5,43,6.449867082086938,69.91999999999999,10.903799224380704,1.8399999999999999
215,1,44,5.865812650370663,102.3,10.919216818606984,3.7199999999999998
216,2,44,5.570647618727645,172.98,10.215079542334594,5.58
217,3,44,5.692542124081779,137.64,15.440815293222444,7.4399999999999995
218,4,44,6.226502766640348,163.67999999999998,16.408665758662142,1.8599999999999999
219,5,44,7.031987065350117,122.75999999999999,11.764931783422536,1.8599999999999999
220,1,45,7.875270628537692,127.83999999999999,9.59688263369058,5.64
221,2,45,8.503865588339803,97.75999999999999,10.172413674278417,0.0
222,3,45,8.729302151350705,75.19999999999999,18.497884327543282,7.52
223,4,45,8.491136338702486,77.08,12.177180908287749,1.88
224,5,45,7.880492748247246,125.96,16.630697589678455,7.52
225,1,46,7.114233193147993,106.39999999999999,15.434303904115506,1.9
226,2,46,6.466925341946137,64.6,13.128426576702509,7.6
227,3,46,6.181931175463554,102.6,11.454028990857774,3.8
228,4,46,6.390406933419164,171.0,10.653170972514362,1.9
229,5,46,7.065154652523351,96.89999999999999,15.342623196369232,7.6
230,1,47,8.02545995018712,57.599999999999994,17.036484294122765,0.0
231,2,47,8.992634903600333,55.68,15.781480833994854,3.84
232,3,47,9.679243856891292,176.64,14.690900479191917,3.84
233,4,47,9.883449008601838,186.23999999999998,10.002731744943707,0.0
234,5,47,9.557514121825157,184.32,18.897492264906084,7.68
235,1,48,8.82726517956247,147.44,17.447527659049374,5.82
236,2,48,7.954910048919295,85.36,12.540373755999358,0.0
237,3,48,7.256102563672369,40.74,19.20571219478085,7.76
238,4,48,6.997468670192145,161.01999999999998,15.538251419472324,0.0
239,5,48,7.307861536314678,104.75999999999999,15.34949978461029,0.0
240,1,49,8.132862147953835,50.96,17.131117158409417,1.96
241,2,49,9.2484811907838,72.52,17.75534392328335,7.84
242,3,49,10.330894704807829,168.56,16.233490351848726,5.88
243,4,49,11.060537317094989,119.56,11.05533831438876,1.96
244,5,49,11.227094100947362,113.67999999999999,13.115021558746083,0.0
245,1,50,10.800903553220781,118.8,19.088028039227893,0.0
246,2,50,9.946581735990119,186.12,12.123694557254135,0.0
247,3,50,8.97315430018179,85.14,13.584453535991381,7.92
248,4,50,8.235731321075878,156.42,14.17756114114754,7.92
249,5,50,8.02,128.7,14.250109397975077,1.98
